x,y,z,xdot,ydot,zdot,TOF,JC
1.0454982153052865,0.0,0.0,0.0,-1.104463108809437,0.0,-1.0485440957353567,2.162776194410724
1.0454582153052865,0.0,0.0,0.0,-1.1045721466728087,0.0,-1.0483939417975898,2.162815028114263
1.0454182153052864,0.0,0.0,0.0,-1.1046813823270982,0.0,-1.0482437162425073,2.1628538163261655
1.0453782153052864,0.0,0.0,0.0,-1.1047908161496698,0.0,-1.0480934189720301,2.162892558931997
1.0453382153052864,0.0,0.0,0.0,-1.1049004485188523,0.0,-1.0479430498878992,2.162931255816987
1.0452982153052863,0.0,0.0,0.0,-1.1050102798139316,0.0,-1.0477926088916767,2.1629699068660537
1.0452582153052863,0.0,0.0,0.0,-1.1051203104151617,0.0,-1.0476420958847381,2.1630085119637816
1.0452182153052862,0.0,0.0,0.0,-1.1052305407037628,0.0,-1.0474915107682778,2.1630470709944323
1.0451782153052862,0.0,0.0,0.0,-1.1053409710619293,0.0,-1.0473408534433077,2.1630855838419345
1.0451382153052862,0.0,0.0,0.0,-1.1054516018728253,0.0,-1.047190123810658,2.1631240503898965
1.0450982153052861,0.0,0.0,0.0,-1.1055624335205967,0.0,-1.0470393217709675,2.163162470521589
1.045058215305286,0.0,0.0,0.0,-1.105673466390372,0.0,-1.0468884472246995,2.1632008441199453
1.045018215305286,0.0,0.0,0.0,-1.1057847008682546,0.0,-1.0467375000721302,2.1632391710675876
1.044978215305286,0.0,0.0,0.0,-1.1058961373413452,0.0,-1.046586480213345,2.16327745124678
1.044938215305286,0.0,0.0,0.0,-1.1060077761977276,0.0,-1.046435387548249,2.163315684539469
1.044898215305286,0.0,0.0,0.0,-1.1061196178264818,0.0,-1.0462842219765602,2.163353870827258
1.0448582153052859,0.0,0.0,0.0,-1.1062316626176845,0.0,-1.0461329833978084,2.163392009991415
1.0448182153052858,0.0,0.0,0.0,-1.1063439109624118,0.0,-1.0459816717113364,2.1634301019128666
1.0447782153052858,0.0,0.0,0.0,-1.1064563632527413,0.0,-1.0458302868163019,2.1634681464722068
1.0447382153052858,0.0,0.0,0.0,-1.10656901988176,0.0,-1.0456788286116685,2.1635061435496814
1.0446982153052857,0.0,0.0,0.0,-1.1066818812435597,0.0,-1.0455272969962206,2.163544093025203
1.0446582153052857,0.0,0.0,0.0,-1.1067949477332495,0.0,-1.0453756918685453,2.163581994778335
1.0446182153052856,0.0,0.0,0.0,-1.106908219746953,0.0,-1.045224013127044,2.1636198486882945
1.0445782153052856,0.0,0.0,0.0,-1.1070216976818106,0.0,-1.0450722606699254,2.1636576546339645
1.0445382153052856,0.0,0.0,0.0,-1.1071353819359893,0.0,-1.0449204343952143,2.1636954124938694
1.0444982153052855,0.0,0.0,0.0,-1.1072492729086791,0.0,-1.0447685342007345,2.1637331221461933
1.0444582153052855,0.0,0.0,0.0,-1.1073633710001003,0.0,-1.044616559984127,2.163770783468769
1.0444182153052854,0.0,0.0,0.0,-1.1074776766115058,0.0,-1.0444645116428388,2.1638083963390784
1.0443782153052854,0.0,0.0,0.0,-1.1075921901451826,0.0,-1.0443123890741208,2.1638459606342586
1.0443382153052854,0.0,0.0,0.0,-1.1077069120044587,0.0,-1.0441601921750383,2.1638834762310877
1.0442982153052853,0.0,0.0,0.0,-1.1078218425937074,0.0,-1.0440079208424557,2.1639209430059854
1.0442582153052853,0.0,0.0,0.0,-1.1079369823183418,0.0,-1.0438555749730463,2.16395836083503
1.0442182153052852,0.0,0.0,0.0,-1.1080523315848274,0.0,-1.043703154463293,2.1639957295939376
