x,y,z,xdot,ydot,zdot,TOF,JC
1.0339507609437844,0.0,-6.270938691735484e-33,0.0,-1.1459839895134778,0.0,-1.001773793120046,2.1715302336609072
1.0339507598592175,0.0,1.0e-5,0.0,-1.1459839934769664,0.0,-1.0017737964440272,2.171530224205723
1.033950756605516,0.0,2.0e-5,0.0,-1.1459840053674377,0.0,-1.0017738064159647,2.171530195840166
1.03395075118268,0.0,3.0000000000000004e-5,0.0,-1.1459840251849385,0.0,-1.001773823035856,2.17153014856412
1.0339507338296001,0.0,5.000000000000001e-5,0.0,-1.1459840886007622,0.0,-1.0017738762195503,2.1715299972811835
1.0339507077999683,0.0,7.000000000000001e-5,0.0,-1.145984183724622,0.0,-1.001773955995117,2.171529770356474
1.0339506730937698,0.0,9.0e-5,0.0,-1.1459843105565384,0.0,-1.001774062362606,2.171529467789931
1.0339506297109846,0.0,0.00011,0.0,-1.1459844690965957,0.0,-1.001774195322074,2.1715290895813357
1.0339505776515885,0.0,0.00013000000000000002,0.0,-1.1459846593449068,0.0,-1.0017743548735918,2.1715286357303984
1.0339505169155523,0.0,0.00015000000000000001,0.0,-1.1459848813015994,0.0,-1.0017745410172478,2.171528106236787
1.0339504475028414,0.0,0.00017,0.0,-1.1459851349668266,0.0,-1.0017747537531385,2.17152750110011
1.0339503694134167,0.0,0.00019,0.0,-1.1459854203407638,0.0,-1.0017749930813802,2.1715268203199147
1.033950282647234,0.0,0.00021,0.0,-1.145985737423607,0.0,-1.0017752590021005,2.1715260638956977
1.0339501872042447,0.0,0.00023,0.0,-1.1459860862155737,0.0,-1.001775551515445,2.171525231826894
1.0339500830843944,0.0,0.00025,0.0,-1.1459864667169049,0.0,-1.0017758706215667,2.171524324112889
1.0339499702876247,0.0,0.00027,0.0,-1.1459868789278618,0.0,-1.0017762163206392,2.171523340753006
1.0339498488138716,0.0,0.00029,0.0,-1.145987322848728,0.0,-1.0017765886128478,2.171522281746517
1.0339497186630668,0.0,0.00031,0.0,-1.1459877984798084,0.0,-1.0017769874983922,2.1715211470926343
1.0339495798351366,0.0,0.00033,0.0,-1.1459883058214304,0.0,-1.0017774129774877,2.171519936790517
1.0339494323300027,0.0,0.00035,0.0,-1.1459888448739437,0.0,-1.0017778650503617,2.171518650839262
1.0339492761475817,0.0,0.00037,0.0,-1.1459894156377188,0.0,-1.0017783437172578,2.171517289237917
1.0339491112877857,0.0,0.00039,0.0,-1.145990018113149,0.0,-1.0017788489784316,2.1715158519854665
1.0339489377505213,0.0,0.00041,0.0,-1.145990652300648,0.0,-1.0017793808341566,2.1715143390808462
1.0339487555356905,0.0,0.00043,0.0,-1.1459913182006525,0.0,-1.001779939284718,2.1715127505229344
1.0339485646431907,0.0,0.00045,0.0,-1.145992015813619,0.0,-1.0017805243304148,2.1715110863105496
1.0339483650729138,0.0,0.00047,0.0,-1.145992745140029,0.0,-1.0017811359715614,2.171509346442457
1.033948156824747,0.0,0.00049,0.0,-1.1459935061803848,0.0,-1.0017817742084874,2.171507530917361
1.0339479398985731,0.0,0.00051,0.0,-1.1459942989352092,0.0,-1.0017824390415342,2.1715056397339123
1.0339477142942695,0.0,0.0005300000000000001,0.0,-1.1459951234050492,0.0,-1.0017831304710594,2.1715036728907045
1.0339474800117083,0.0,0.0005500000000000001,0.0,-1.1459959795904697,0.0,-1.001783848497436,2.1715016303862846
