x,y,z,xdot,ydot,zdot,Period,JC,Stability
1.1554873273746946,0.0,0.009034758565125686,0.0,0.00015299397072445587,0.0,3.5180426974916306,3.171899985101704,1980.8367752334846
1.155479845959802,0.0,0.009206532346530417,0.0,0.00015886903926519487,0.0,3.5180568743659273,3.171889985101706,1980.6665499413803
1.1554723644541112,0.0,0.009375157364227744,0.0,0.00016474419633904643,0.0,3.5180710526815497,3.1718799851017057,1980.4963357799097
1.1554648828576213,0.0,0.009540800574367233,0.0,0.00017061944195045076,0.0,3.518085232438811,3.1718699851017056,1980.3261327491819
1.1554574011703298,0.0,0.009703614678887503,0.0,0.00017649477610152674,0.0,3.5180994136378514,3.171859985101706,1980.1559408496746
1.155449919392234,0.0,0.009863739773272642,0.0,0.0001823701987967353,0.0,3.5181135962788237,3.1718499851017055,1979.9857600800265
1.155442437523332,0.0,0.01002130475719516,0.0,0.00018824571003892246,0.0,3.518127780361871,3.1718399851017045,1979.8155904415555
1.1554349555636223,0.0,0.010176428548486906,0.0,0.00019412130982994304,0.0,3.5181419658871342,3.1718299851017058,1979.6454319327058
1.155427473513102,0.0,0.010329221132989341,0.0,0.00019999699817478518,0.0,3.518156152854765,3.171819985101705,1979.4752845525672
1.1554199913717689,0.0,0.01047978447644669,0.0,0.00020587277507532097,0.0,3.5181703412649066,3.171809985101705,1979.3051483028041
1.155412509139621,0.0,0.010628213320181904,0.0,0.00021174864053515312,0.0,3.5181845311177047,3.171799985101706,1979.1350231815754
1.1554050268166556,0.0,0.010774595878063415,0.0,0.00021762459455848846,0.0,3.518198722413308,3.1717899851017046,1978.9649091881768
1.1553975444028712,0.0,0.01091901444921397,0.0,0.0002235006371468445,0.0,3.518212915151859,3.1717799851017046,1978.7948063239116
1.1553900618982655,0.0,0.01106154595888966,0.0,0.00022937676830382238,0.0,3.518227109333501,3.171769985101705,1978.6247145867605
1.1553825793028358,0.0,0.011202262437214451,0.0,0.0002352529880334146,0.0,3.518241304958387,3.1717599851017044,1978.4546339774872
1.1553750966165803,0.0,0.011341231444522575,0.0,0.00024112929633825556,0.0,3.5182555020266584,3.171749985101704,1978.2845644953045
1.1553676138394975,0.0,0.01147851645028331,0.0,0.000247005693220908,0.0,3.51826970053846,3.171739985101705,1978.1145061395848
1.155360130971583,0.0,0.011614177171803103,0.0,0.0002528821786863739,0.0,3.5182839004939415,3.171729985101704,1977.9444589105192
1.155352648012837,0.0,0.011748269877486353,0.0,0.00025875875273553996,0.0,3.5182981018932438,3.171719985101704,1977.7744228079548
