x,y,z,xdot,ydot,zdot,Period,JC,Stability Index,Time Constant
0.8421432541109349,0.0,0.0,0.0,-0.04218458038539848,0.0,2.6967499322829127,3.1868766923863285,2641.2154595509205,0.3422708234129167
0.8423273900136211,0.0,0.0,0.0,-0.043616263822637315,0.0,2.697104729665665,3.1867766923863283,2638.8910279060206,0.34235411102793767
0.8426803969476035,0.0,0.0,0.0,-0.046351389583052696,0.0,2.697814991781871,3.186576692386302,2634.246492514177,0.3425208566820946
0.8430158554274975,0.0,0.0,0.0,-0.048939039402582984,0.0,2.6985261452305034,3.1863766923862875,2629.607724359599,0.34268782996990016
0.8433363994176187,0.0,0.0,0.0,-0.05140129704782151,0.0,2.699238191852352,3.186176692386309,2624.9747194755755,0.3428550313744011
0.8436440652284193,0.0,0.0,0.0,-0.05375523805355015,0.0,2.6999511334907194,3.185976692386318,2620.347473865733,0.34302246138017817
0.8439404656534342,0.0,0.0,0.0,-0.05601438862789496,0.0,2.7006649719957885,3.1857766923863227,2615.725983559093,0.34319012047299174
0.8442269038491472,0.0,0.0,0.0,-0.058189679792826306,0.0,2.7013797092226004,3.185576692386326,2611.1102445796205,0.34335800914003134
0.8445044506358393,0.0,0.0,0.0,-0.06029009509141493,0.0,2.7020953470311135,3.185376692386327,2606.5002529540748,0.34352612786979525
0.8447739986295981,0.0,0.0,0.0,-0.06232312419275148,0.0,2.7028118872862974,3.185176692386328,2601.89600470718,0.3436944771521855
0.8450363011661383,0.0,0.0,0.0,-0.06429508907998352,0.0,2.7035293318581397,3.1849766923863276,2597.297495865289,0.3438630574784503
0.8452920009334227,0.0,0.0,0.0,-0.0662113840124114,0.0,2.7042476826216526,3.1847766923863277,2592.7047224537273,0.344031869341232
0.8455416514550349,0.0,0.0,0.0,-0.068076655583661,0.0,2.7049669414569375,3.1845766923863286,2588.117680498508,0.34420091323454904
0.845785733491892,0.0,0.0,0.0,-0.06989494019818002,0.0,2.7056871102491638,3.184376692386328,2583.5363660271796,0.34437018965378163
0.846024667758319,0.0,0.0,0.0,-0.07166977066239145,0.0,2.7064081908885984,3.1841766923863286,2578.9607750649084,0.3445396990957443
0.846258824916785,0.0,0.0,0.0,-0.07340425997003619,0.0,2.707130185270628,3.183976692386328,2574.390903639286,0.34470944205860987
0.8464885335308489,0.0,0.0,0.0,-0.07510116797572876,0.0,2.707853095295767,3.1837766923863278,2569.8267477775494,0.3448794190419606
0.846714086464053,0.0,0.0,0.0,-0.07676295504365048,0.0,2.7085769228696748,3.183576692386329,2565.268303507061,0.3450496305467846
0.8469357460804889,0.0,0.0,0.0,-0.07839182565226605,0.0,2.7093016699031844,3.1833766923863283,2560.7155668553937,0.34522007707548086
0.8471537485103727,0.0,0.0,0.0,-0.07998976416186653,0.0,2.7100273383122997,3.1831766923863283,2556.1685338508814,0.34539075913185197
0.8473683071781984,0.0,0.0,0.0,-0.0815585644006692,0.0,2.710753930018206,3.1829766923863283,2551.6272005220562,0.345561677221118
0.8475796157435203,0.0,0.0,0.0,-0.0830998543270089,0.0,2.711481446947347,3.1827766923863288,2547.0915628965377,0.34573283184994824
0.8477878505696131,0.0,0.0,0.0,-0.08461511673353447,0.0,2.712209891031371,3.1825766923863292,2542.5616170037806,0.3459042235264093
0.8479931728094572,0.0,0.0,0.0,-0.08610570674314935,0.0,2.712939264207166,3.182376692386329,2538.0373588727834,0.3460758527600124
0.8481957301791312,0.0,0.0,0.0,-0.08757286668408495,0.0,2.713669568416909,3.182176692386329,2533.518784533633,0.346247720061695
0.8483956584740173,0.0,0.0,0.0,-0.08901773880855361,0.0,2.714400805608056,3.181976692386328,2529.0058900147246,0.3464198259438714
0.8485930828719801,0.0,0.0,0.0,-0.09044137622513786,0.0,2.7151329777333424,3.181776692386329,2524.4986713467947,0.34659217092036443
0.8487881190589917,0.0,0.0,0.0,-0.09184475234229983,0.0,2.7158660867508355,3.181576692386329,2519.997124560037,0.3467647555064662
0.8489808742058885,0.0,0.0,0.0,-0.0932287690635055,0.0,2.7166001346239446,3.1813766923863285,2515.501245684208,0.34693758021893933
0.8491714478196465,0.0,0.0,0.0,-0.09459426392996627,0.0,2.7173351233214174,3.181176692386329,2511.01103075107,0.3471106455759775
0.8493599324883166,0.0,0.0,0.0,-0.09594201637158445,0.0,2.7180710548173828,3.180976692386328,2506.526475791051,0.34728395209727136
0.8495464145354232,0.0,0.0,0.0,-0.09727275319849304,0.0,2.7188079310913484,3.1807766923863294,2502.0475768355195,0.347457500303972
0.8497309745969158,0.0,0.0,0.0,-0.09858715344302155,0.0,2.7195457541282297,3.180576692386329,2497.574329916516,0.3476312907187013
0.8499136881315809,0.0,0.0,0.0,-0.09988585264351704,0.0,2.7202845259183586,3.180376692386329,2493.1067310650956,0.3478053238655859
0.8500946258740728,0.0,0.0,0.0,-0.1011694466468109,0.0,2.7210242484575207,3.180176692386329,2488.6447763139377,0.3479796002702182
0.8502738542382382,0.0,0.0,0.0,-0.10243849499370748,0.0,2.7217649237469472,3.179976692386329,2484.1884616954485,0.34815412045969196
0.8504514356772476,0.0,0.0,0.0,-0.10369352394211505,0.0,2.7225065537933624,3.179776692386329,2479.737783242455,0.34832888496259895
0.8506274290060544,0.0,0.0,0.0,-0.10493502917410555,0.0,2.7232491406089423,3.1795766923863296,2475.292736987302,0.3485038943090427
0.8508018896908889,0.0,0.0,0.0,-0.10616347822638295,0.0,2.7239926862114165,3.179376692386329,2470.853318963652,0.3486791490306221
