x,y,z,xdot,ydot,zdot,Period,JC,Stability
1.009269871821238,0.0,0.0,0.0,0.0006578091584362574,0.0,3.0532809305315642,3.000774110576042,1976.0692141386621
1.0087825705111222,0.0,0.0,0.0,0.0036820431167150633,0.0,3.0609732907538794,3.000764110576041,1926.0584423456341
1.008523272554264,0.0,0.0,0.0,0.005211093870303092,0.0,3.068849571909788,3.0007541105760427,1876.9578061621062
1.0083141187714033,0.0,0.0,0.0,0.006412238792927552,0.0,3.0769159737340774,3.0007441105760426,1828.7584030996516
1.0081310407029975,0.0,0.0,0.0,0.007443503048374516,0.0,3.0851789623505304,3.0007341105760426,1781.451331568851
1.0079645990030497,0.0,0.0,0.0,0.00836690737747757,0.0,3.093645284351567,3.0007241105760416,1735.0276920440328
1.0078099281694801,0.0,0.0,0.0,0.009214458097847836,0.0,3.102321981691777,3.0007141105759896,1689.4785879916947
1.007664130674446,0.0,0.0,0.0,0.010005249201869302,0.0,3.111216404772406,3.0007041105760295,1644.7951208961572
1.0075253162116236,0.0,0.0,0.0,0.010751767926219418,0.0,3.12033623273084,3.0006941105760383,1600.9683985690504
1.0073921710034028,0.0,0.0,0.0,0.011462721630380606,0.0,3.129689487183985,3.000684110576041,1557.9895291454407
1.0072637383581684,0.0,0.0,0.0,0.012144478257791037,0.0,3.1392845516824672,3.0006741105760413,1515.8496225566314
1.0071392961748946,0.0,0.0,0.0,0.012801870544621508,0.0,3.1491301909082607,3.0006641105760417,1474.5397908082857
1.007018283691406,0.0,0.0,0.0,0.013438677052481453,0.0,3.159235571074285,3.0006541105760416,1434.0511479802492
1.0069002552542372,0.0,0.0,0.0,0.014057925870317688,0.0,3.1696102815422535,3.000644110576041,1394.3748103280416
1.0067848498469107,0.0,0.0,0.0,0.014662094907843252,0.0,3.1802643577314296,3.0006341105760415,1355.5018963075856
1.0066717702734291,0.0,0.0,0.0,0.015253248837979355,0.0,3.1912083053908438,3.0006241105760414,1317.4235266582846
1.0065607685046023,0.0,0.0,0.0,0.015833135610941955,0.0,3.2024531263112617,3.000614110576041,1280.1308245424455
1.006451635096072,0.0,0.0,0.0,0.01640325626609768,0.0,3.2140103455646867,3.0006041105760413,1243.6149156146241
1.0063441913770408,0.0,0.0,0.0,0.01696491658193862,0.0,3.2258920403579205,3.000594110576041,1207.8669282047167
1.0062382835731762,0.0,0.0,0.0,0.017519266056348133,0.0,3.238110870592298,3.000584110576041,1172.8779934661184
1.0061337783102993,0.0,0.0,0.0,0.01806732785111054,0.0,3.250680111219952,3.0005741105760406,1138.639245586418
1.006030559123387,0.0,0.0,0.0,0.018610022166896643,0.0,3.2636136864994145,3.000564110576041,1105.1418220285907
1.0059285237105913,0.0,0.0,0.0,0.019148184759397686,0.0,3.276926206243626,3.0005541105760414,1072.37686379269
1.0058275817481088,0.0,0.0,0.0,0.019682581807472014,0.0,3.2906330041622285,3.0005441105760413,1040.3355157712185
1.0057276531333874,0.0,0.0,0.0,0.020213922005575997,0.0,3.3047501783951336,3.0005341105760412,1009.0089271200002
1.0056286665596728,0.0,0.0,0.0,0.02074286651952344,0.0,3.3192946343410457,3.0005241105760407,978.3882517364934
1.005530558350067,0.0,0.0,0.0,0.02127003727989468,0.0,3.3342841298666794,3.0005141105760402,948.4646487712726
1.005433271497007,0.0,0.0,0.0,0.021796023970916293,0.0,3.3497373229896,3.000504110576041,919.2292832953096
1.0053367548660035,0.0,0.0,0.0,0.022321389987981246,0.0,3.3656738221257925,3.000494110576041,890.673327019472
1.0052409625322092,0.0,0.0,0.0,0.022846677573583645,0.0,3.3821142389448164,3.00048411057604,862.7879591789256
1.0051458532251185,0.0,0.0,0.0,0.02337241229696514,0.0,3.3990802439118832,3.00047411057604,835.5643675541503
1.0050513898622546,0.0,0.0,0.0,0.02389910700685,0.0,3.4165946245393544,3.000464110576041,808.9937496671582
1.0049575391567267,0.0,0.0,0.0,0.024427265360347113,0.0,3.4346813463416495,3.0004541105760403,783.0673141808074
1.0048642712865203,0.0,0.0,0.0,0.024957385011547806,0.0,3.453365616476361,3.00044411057604,757.776282539339
1.0047715596159221,0.0,0.0,0.0,0.025489960526997014,0.0,3.4726739499829113,3.0004341105760406,733.1118908820662
1.004679380461236,0.0,0.0,0.0,0.02602548608369254,0.0,3.492634238501339,3.000424110576041,709.0653922578035
1.0045877128945913,0.0,0.0,0.0,0.026564457994680542,0.0,3.5132758212496387,3.0004141105760405,685.6280592478354
1.004496538580693,0.0,0.0,0.0,0.027107377100407018,0.0,3.5346295579771203,3.0004041105760404,662.7911869829829
1.0044058416423243,0.0,0.0,0.0,0.027654751057569794,0.0,3.5567279035040396,3.0003941105760417,640.546096669108
1.0043156085511922,0.0,0.0,0.0,0.02820709655207774,0.0,3.57960498332251,3.0003841105760416,618.8841396845271
1.004225828041483,0.0,0.0,0.0,0.028764941457435984,0.0,3.603296669536929,3.0003741105760424,597.7967023555477
1.0041364910435955,0.0,0.0,0.0,0.029328826958584638,0.0,3.6278406563243975,3.0003641105760437,577.2752114721053
1.0040475906366164,0.0,0.0,0.0,0.02989930965421373,0.0,3.653276533696153,3.000354110576039,557.3111405532993
1.0039591220167499,0.0,0.0,0.0,0.030476963655057136,0.0,3.6796458584898826,3.000344110576039,537.8960178198427
1.0038710824832524,0.0,0.0,0.0,0.031062382676020166,0.0,3.706992220149262,3.0003341105760395,519.0214339678812
1.0037834714372644,0.0,0.0,0.0,0.03165618214284367,0.0,3.735361300075027,3.0003241105760385,500.6790525808457
1.0036962903954099,0.0,0.0,0.0,0.03225900130514795,0.0,3.7648009212473266,3.0003141105760394,482.86062142024167
1.0036095430162744,0.0,0.0,0.0,0.03287150536069733,0.0,3.795361085265327,3.000304110576039,465.55798552396476
1.0035232351395713,0.0,0.0,0.0,0.03349438758415342,0.0,3.8270939928558896,3.0002941105760392,448.76310227553284
1.0034373748373313,0.0,0.0,0.0,0.03412837145236285,0.0,3.860054043291249,3.0002841105760387,432.46805860861616
1.003351972476714,0.0,0.0,0.0,0.03477421275103091,0.0,3.8942978071888916,3.0002741105760387,416.6650906669785
1.0032670407940074,0.0,0.0,0.0,0.03543270164158019,0.0,3.929883966130653,3.0002641105760386,401.3466061470776
1.0031825949792021,0.0,0.0,0.0,0.036104664660128544,0.0,3.9668732114154075,3.000254110576039,386.5052095986712
1.0030986527706178,0.0,0.0,0.0,0.03679096661012063,0.0,4.00532809286312,3.000244110576039,372.13373095818935
1.003015234558744,0.0,0.0,0.0,0.03749251230043399,0.0,4.045312807173483,3.0002341105760384,358.2252575363486
1.0029323634982843,0.0,0.0,0.0,0.03821024806772255,0.0,4.08689291373731,3.000224110576039,344.77316965730154
1.0028500656270551,0.0,0.0,0.0,0.038945163007017745,0.0,4.1301349641218685,3.0002141105760387,331.7711800771249
1.0027683699899315,0.0,0.0,0.0,0.039698289817837525,0.0,4.17510602976173,3.000204110576038,319.2133771882877
1.0026873087654884,0.0,0.0,0.0,0.04047070515364554,0.0,4.221873110753847,3.0001941105760395,307.0942718682346
1.0026069173922039,0.0,0.0,0.0,0.041263529341750774,0.0,4.2705024072811915,3.000184110576038,295.40884762739046
1.0025272346903096,0.0,0.0,0.0,0.04207792531644004,0.0,4.321058434139691,3.0001741105760384,284.1526134274659
1.0024483029739921,0.0,0.0,0.0,0.04291509658695981,0.0,4.37360295874328,3.000164110576039,273.3216581857415
1.00237016814768,0.0,0.0,0.0,0.04377628403496101,0.0,4.428193743558746,3.000154110576038,262.9127055441455
1.0022928797782888,0.0,0.0,0.0,0.04466276131759692,0.0,4.484883076467545,3.0001441105760382,252.9231669770798
1.0022164911336224,0.0,0.0,0.0,0.04557582863594925,0.0,4.543716076914109,3.000134110576038,243.35119065005506
1.0021410591752429,0.0,0.0,0.0,0.04651680462039784,0.0,4.6047287728474595,3.000124110576039,234.195702851401
1.0020666444919606,0.0,0.0,0.0,0.04748701609356391,0.0,4.6679459541307935,3.000114110576038,225.45643802993305
1.0019933111583668,0.0,0.0,0.0,0.048487785495474264,0.0,4.733378822514127,3.0001041105760375,217.1339528891092
1.0019211265009051,0.0,0.0,0.0,0.04952041581277606,0.0,4.801022477560804,3.0000941105760375,209.2296193805521
1.001850160753214,0.0,0.0,0.0,0.05058617293793414,0.0,4.870853301323324,3.0000841105760383,201.74559110029304
