x,y,z,xdot,ydot,zdot,Period,JC,Stability
0.9952413499392128,0.0,0.0,0.0,6.68588616558581e-5,0.0,3.022814972294123,3.0002024886011407,2031.9584018511464
0.9951981702120428,0.0,0.0,0.0,0.0003591301884622498,0.0,3.023116711906853,3.000202388601142,2029.9568224870375
0.9951772031083336,0.0,0.0,0.0,0.0005028181376542244,0.0,3.0234187050060988,3.0002022886011432,2027.9565854986245
0.9951611855979363,0.0,0.0,0.0,0.0006133958230167833,0.0,3.0237209644530294,3.000202188601143,2025.9577540834212
0.995147758552094,0.0,0.0,0.0,0.0007066437414575108,0.0,3.0240234905968415,3.000202088601143,2023.9603278281281
0.9951359947695233,0.0,0.0,0.0,0.0007887641094577736,0.0,3.024326283234987,3.000201988601139,2021.9643023739175
0.9951254155367932,0.0,0.0,0.0,0.0008629591541502396,0.0,3.02462934420262,3.000201888601143,2019.9696877840402
0.9951157353524456,0.0,0.0,0.0,0.0009311386776876185,0.0,3.0249326725390047,3.000201788601143,2017.9764743825317
0.9951067677121153,0.0,0.0,0.0,0.0009945502716357593,0.0,3.0252362688536483,3.0002016886011442,2015.9846635715694
0.995098382828851,0.0,0.0,0.0,0.0010540621319890917,0.0,3.025540133529942,3.000201588601144,2013.9942551752151
0.9950904860748213,0.0,0.0,0.0,0.0011103072662023983,0.0,3.0258442669147794,3.000201488601144,2012.005248721375
0.9950830059371959,0.0,0.0,0.0,0.0011637640587587722,0.0,3.0261486693543453,3.0002013886011434,2010.0176436797321
0.9950758868109147,0.0,0.0,0.0,0.001214804481686119,0.0,3.026453341178285,3.000201288601145,2008.0314395905677
0.995069084445505,0.0,0.0,0.0,0.0012637245522928594,0.0,3.0267582827368753,3.0002011886011446,2006.0466358534336
0.9950625629431168,0.0,0.0,0.0,0.0013107644136534512,0.0,3.0270634943611556,3.000201088601145,2004.0632319930176
0.995056292704627,0.0,0.0,0.0,0.001356122074132112,0.0,3.027368976397258,3.0002009886011445,2002.0812274608525
0.9950502489837528,0.0,0.0,0.0,0.001399963079060456,0.0,3.02767472918045,3.000200888601145,2000.1006217484812
0.9950444108410765,0.0,0.0,0.0,0.001442427507848668,0.0,3.0279807530545413,3.0002007886011453,1998.1214143027723
0.9950387603716474,0.0,0.0,0.0,0.001483635140730408,0.0,3.0282870483620123,3.000200688601146,1996.1436046023825
0.9950332821229979,0.0,0.0,0.0,0.0015236893518601326,0.0,3.0285936154432953,3.000200588601146,1994.1671921387672
0.9950279626490727,0.0,0.0,0.0,0.0015626800933691812,0.0,3.0289004546444045,3.0002004886011457,1992.1921763336795
0.9950227901637025,0.0,0.0,0.0,0.0016006862132688067,0.0,3.029207566304464,3.000200388601146,1990.218556713553
0.9950177542669882,0.0,0.0,0.0,0.0016377772859659755,0.0,3.0295149507694856,3.000200288601146,1988.2463327216624
0.995012845727443,0.0,0.0,0.0,0.0016740150694946566,0.0,3.029822608381851,3.0002001886011462,1986.27550384941
0.9950080563059929,0.0,0.0,0.0,0.0017094546829646783,0.0,3.0301305394891314,3.000200088601147,1984.306069534858
0.9950033786128962,0.0,0.0,0.0,0.0017441455636108723,0.0,3.0304387444363803,3.0001999886011466,1982.3380292833565
0.9949988059899653,0.0,0.0,0.0,0.0017781322547347498,0.0,3.0307472235687443,3.0001998886011467,1980.3713825441803
0.9949943324130763,0.0,0.0,0.0,0.0018114550578388572,0.0,3.031055977232973,3.000199788601147,1978.4061287962468
0.994989952410712,0.0,0.0,0.0,0.0018441505775905335,0.0,3.031365005776542,3.0001996886011466,1976.4422675149522
0.9949856609955716,0.0,0.0,0.0,0.0018762521792566318,0.0,3.0316743095451986,3.0001995886011477,1974.4797981831807
